,LGA_CODE_2021,0_25_years,25_65_years,65+_years
0,LGA10050,17517,27709,10654
1,LGA10180,9853,13751,5388
2,LGA10250,11904,21949,12500
3,LGA10300,651,1210,473
4,LGA10470,14199,21583,7945
5,LGA10500,48040,101841,25896
6,LGA10550,8613,17254,10413
7,LGA10600,3365,6439,3698
8,LGA10650,2074,3748,2667
9,LGA10750,140868,212227,44125
10,LGA10800,1654,2874,1258
11,LGA10850,2293,3631,1500
12,LGA10900,21701,38825,17464
13,LGA10950,775,1289,515
14,LGA11150,796,1303,419
15,LGA11200,451,751,233
16,LGA11250,4884,8759,4133
17,LGA11300,11662,22485,6159
18,LGA11350,9181,20730,6811
19,LGA11400,4276,6472,2974
20,LGA11450,44397,62783,11856
21,LGA11500,61059,91896,23452
22,LGA11520,23493,50519,15323
23,LGA11570,120922,193596,55234
24,LGA11600,897,1689,454
25,LGA11650,101341,168287,76474
26,LGA11700,538,1022,427
27,LGA11720,20444,32345,10727
28,LGA11730,13835,25852,15304
29,LGA11750,1307,2386,720
30,LGA11800,22354,38913,18607
31,LGA12000,1315,1977,1019
32,LGA12150,1230,1871,768
33,LGA12160,3112,5174,3145
34,LGA12350,3539,5861,3396
35,LGA12380,78030,128863,28400
36,LGA12390,17855,27533,9502
37,LGA12700,2697,4778,2108
38,LGA12730,2334,4017,2042
39,LGA12750,9088,18878,13291
40,LGA12850,66242,106855,34639
41,LGA12870,3174,5716,3721
42,LGA12900,3016,4320,2125
43,LGA12930,43748,82037,26531
44,LGA12950,1193,2079,1082
45,LGA13010,2226,4205,2468
46,LGA13310,9514,16345,6661
47,LGA13340,3456,5195,2383
48,LGA13450,8588,14387,4457
49,LGA13550,4307,6345,2420
50,LGA13660,1271,2281,1395
51,LGA13800,21448,34540,11114
52,LGA13850,784,1427,682
53,LGA13910,5674,9027,4530
54,LGA14000,46725,77170,27361
55,LGA14100,3938,6200,3179
56,LGA14170,44737,110334,25412
57,LGA14220,5472,8424,4046
58,LGA14300,1770,3529,1202
59,LGA14350,8334,14656,8301
60,LGA14400,6121,10726,6109
61,LGA14500,39885,59755,23960
62,LGA14550,2281,4663,2492
63,LGA14600,1868,2953,1285
64,LGA14650,62588,102985,45959
65,LGA14700,10931,22399,5669
66,LGA14750,3924,5482,2014
67,LGA14850,12624,22777,9368
68,LGA14870,5566,10335,5026
69,LGA14900,84343,122555,27119
70,LGA14920,2125,3604,1853
71,LGA14950,1011,1481,784
72,LGA15050,30358,45550,13855
73,LGA15240,22699,42898,31890
74,LGA15270,7749,12979,5336
75,LGA15300,4167,6836,2305
76,LGA15350,7404,14250,6027
77,LGA15520,3230,5877,3502
78,LGA15560,881,1723,697
79,LGA15650,5426,8721,2447
80,LGA15700,5032,9419,6321
81,LGA15750,3973,6677,2505
82,LGA15800,1700,2660,1307
83,LGA15850,2039,2916,1372
84,LGA15900,50999,88272,28621
85,LGA15950,13998,42581,11221
86,LGA15990,78168,135697,47293
87,LGA16100,1495,2768,1373
88,LGA16150,14757,21574,7710
89,LGA16200,4588,6856,2951
90,LGA16260,75518,149621,32584
91,LGA16350,74402,114963,28405
92,LGA16380,22884,39113,25446
93,LGA16400,20887,34689,18931
94,LGA16490,19221,35438,8413
95,LGA16550,36510,75988,20964
96,LGA16610,6947,10807,6065
97,LGA16700,35314,74376,19526
98,LGA16900,23983,38079,13863
99,LGA16950,28108,51003,30062
100,LGA17000,8540,12811,3555
101,LGA17040,7930,14816,4751
102,LGA17080,4210,7362,3377
103,LGA17100,13380,26649,5493
104,LGA17150,69102,116656,42746
105,LGA17200,44008,152482,20871
106,LGA17310,20280,30657,12520
107,LGA17350,1734,2681,1607
108,LGA17400,1571,3296,2243
109,LGA17420,65062,98286,28640
110,LGA17550,25383,46528,26328
111,LGA17620,4208,7211,2992
112,LGA17640,2216,4225,2136
113,LGA17650,1670,2921,1358
114,LGA17750,24448,33316,11021
115,LGA17850,776,1362,859
116,LGA17900,1494,2864,1307
117,LGA17950,763,1271,586
118,LGA18020,2472,4276,2685
119,LGA18050,16681,42085,8686
120,LGA18100,857,1625,1058
121,LGA18200,2210,3940,1574
122,LGA18250,22400,41415,12438
123,LGA18350,14200,24282,14683
124,LGA18400,18512,26989,8156
125,LGA18450,66026,107792,39851
126,LGA18500,12987,28105,10907
127,LGA18710,5358,8870,3113
128,LGA19399,272,679,268
129,LGA19799,0,32,3
